id;Club;Player;Goals;GamesPlayed
1;Atletico Madrid;Diego Costa;8;9
2;Atletico Madrid;Arda Turan;4;9
3;Atletico Madrid;Raúl García;4;12
4;Atletico Madrid;Adrián López;2;9
5;Atletico Madrid;Diego Godín;2;10
6;Real Madrid;Cristiano Ronaldo;17;11
7;Real Madrid;Gareth Bale;6;12
8;Real Madrid;Karim Benzema;5;11
9;Real Madrid;Isco;3;12
10;Real Madrid;Ángel Di María;3;11
11;Bayern Munich;Thomas Müller;5;12
12;Bayern Munich;Arjen Robben;4;10
13;Bayern Munich;Mario Götze;3;11
14;Bayern Munich;Bastian Schweinsteiger;3;8
15;Bayern Munich;Mario Mandžukić;3;10
16;Chelsea;Fernando Torres;4;9
17;Chelsea;Demba Ba;3;6
18;Chelsea;Samuel Eto'o;3;9
19;Chelsea;Eden Hazard;2;9
20;Chelsea;Ramires;2;10